1	1	j	i
1	1	çi	ci
1	1	çe	ce
1	1	çi	ci
1	1	ço	zo
1	1	ça	za
1	1	çu	zu
1	1	çv	zhu
1	1	^um	om
1	1	^un	on
1	1	vitz$	huitz
1	1	tiuj$	tihui
1	1	aujtl$	ahuitl
1	1	^quj	qui
1	1	zque$	zqueh
0	1	jc	ic
0	1	ioan	ihuan
0	1	ioa	ihuan
0	1	yoan	ihuan
0	1	iuan	ihuan
0	2	iuan	Juan
0	1	ivan	ihuan
0	1	tenochtitla	Tenochtitlan
0	1	tenochtitlan	Tenochtitlan
0	1	motecocoma	Moctezuma
0	1	motecucuma	Moctezuma
0	1	motecucoma	Moctezuma
0	1	motecocuma	Moctezuma
0	1	motecuçoma	Moctezuma
0	1	vexotzinco	Huexotzinco
0	1	cempoalxiujtl	cempohualxihuitl
0	1	tlatocaiotl	tlatocayotl
0	1	icoac	ihcuac
0	1	Icoac	Ihcuac
0	1	Vitzilihuitl	Huitzilihuitl
0	1	colhoacan	Colhuacan
0	1	ei	eyi
0	1	chicuei	chicueyi
0	1	capitulo	capítulo
0	1	vncan	oncan
0	1	mexico	Mexico
0	1	teculutl	tecolotl
0	1	yn	in
0	1	naui	nahui
0	1	nauj	nahui
0	1	njcan	nican
0	1	tlatoanj	tlatoani
0	1	Injc	Inic
0	1	Jnic	Inic
0	1	injc	inic
0	1	xiuitl	xihuitl
0	1	gouernadores	gobernadores
0	1	çan	zan
0	1	umpa	ompa
0	1	anoço	anozo
0	1	mjtoa	mihtoa
0	1	tlejn	tlein
0	1	iehoatl	yehhuatl
0	1	Veue	Huehue
0	1	veue	Huehue
0	1	vmentin	omentin
0	1	matlacxiuitl	matlacxihuitl
0	1	qujiauchiuh	quiyaochiuh
0	1	jxqujch	ixquich
0	1	quauhnaoac	cuauhnahuac
0	2	quauhnaoac	Cuauhnahuac
0	1	vei	hueyi
0	1	nauhxiuitl	nauhxihuitl
0	1	mitoa	mihtoa
0	1	acolhoacatl	acolhuacatl
0	1	jxquich	ixquich
0	1	chicoacen	chicuacen
0	1	chiquacen	chicuacen
0	1	xiujtl	xihuitl
0	1	Axaiaca	Axayaca
0	1	axaiaca	Axayaca
0	1	ipa	ipan
0	1	jpan	ipan
0	1	tlatilulca	tlatelolca
0	1	tlatilulco	Tlatelolco
0	1	vmpoalxiujtl	ompohualxihuitl
0	1	mjxnamjque	mixnamique
0	1	chiquacenxiujtl	chicuacenxihuitl
0	1	moquiuixtli	Moquiuixtli
0	1	jcoac	ihcuac
0	1	chicuej	chicueyi
0	1	Aujtzotl	Ahuitzotl
0	1	itzcoatl	Itzcoatl
0	1	caxtolxiujtl	caxtolxihuitl
0	1	exiuitl	exihuitl
0	1	macujltetl	macuiltetl
0	1	macujlli	macuilli
0	1	jntoca	intoca
0	1	azcaputzalca	Azcapoltzalco
0	1	xuchmilca	Xochimilco
0	1	xochmjlco	Xochimilco
0	1	hecatepec	Ecatepec
0	1	tlacotepec	Tlacotepec
0	1	callimaia	Callimaya
0	1	metepec	Metepec
0	1	callixtlaoaca	Callixtlahuacan
0	1	cozcaquauhtenanco	Cozcacuahtenanco
0	1	teutenanco	Teutenanco
0	1	malinaltenaco	Malinaltenanco
0	1	tzinacantepec	Tzinacantepec
0	1	coatepec	Coatepec
0	1	cujtlapilco	Cuitlapilco
0	1	teoxaoalco	Teoxahualco
0	1	tequaloia	Tecualoyan
0	1	ocujllan	Ocuillan
0	1	Vitzillatl	Huitzillatl
0	1	namechnocaujlia	namechnocahuilia
0	1	vitziliujtl	Huitzilihuitl
0	1	cuetlaxtlan	Cuetlaxtlan
0	1	quauhtlinchan	Cuauhtlinchan
0	1	coaixtlaoaca	Coaixtlahuacan
0	1	amuxtli	amoxtli
0	1	tequanj	tecuani
0	1	jchan	ichan
0	1	vmpa	ompa
0	1	españa	España
0	1	nueua	Nueva
0	1	coiutl	coyotl
0	1	vtlica	ohtlica
0	1	Coiutl	Coyotl
0	1	Jc	Ic
0	1	tezcatlipuca	Tezcatlipoca
0	1	aqujn	aquin
0	1	njcchioaz	nicchihuaz
0	1	miqujz	miquiz
0	1	qujtetzammatia	quitetzammatia
0	1	niçan	nican
0	1	tzonqujca	tzonquiza
0	1	qujttaz	quittaz
0	1	qujlvia	quilhuia
0	1	qujtlapaloa	quitlahpaloa
0	1	qualli	cualli
0	1	muchi	mochi
0	1	ixqujch	ixquich
0	1	qujtoctia	quitoctia
0	1	ueca	huehca
0	1	civapiltontli	cihuapiltontli
0	1	iollo	iyollo
0	1	mjqujz	miquiz
0	1	iquac	ihcuac
0	1	jquac	ihcuac
0	1	yquac	ihcuac
0	1	mjiecpa	miecpa
0	1	qujchioa	quichihua
0	1	njman	niman
0	1	mocaquj	mocaqui
0	1	qualcan	cualcan
0	1	viloa	huiloa
0	1	aco	azo
0	1	cate	cateh
0	1	qujtoa	quihtoa
0	1	qujtoaia	quihtoaya
0	1	iuhquj	iuhqui
0	1	iuhqujn	iuhquin
0	1	muchioaz	mochihuaz
0	1	ytla	itla
0	1	maceoal	macehual
0	1	maceoalli	macehualli
0	1	macehoal	macehual
0	1	mjcti	micti
0	1	mjctizque	mictizque
0	1	mjcquj	miqui
0	1	muztla	moztla
0	1	tlamatinjme	tlamatinime
0	1	mjtovaia	mihtohuaya
0	1	chocaia	chocaya
0	1	quicaquja	quicaquia
0	1	ioaltica	yohualtica
0	1	iooltica	yohualtica
0	1	jiollo	iyollo
0	1	juh	iuh
0	1	cequjntin	cequintin
0	1	veuetque	huehuetque
0	1	veuetlaca	huehuetlaca
