# FORM			LEMMA			UPOS		UFEATS						MISC			URL
atlaca			atlacatl		NOUN		_						_			_
quiza			quiza			VERB		Subcat=Intr						_			_
icel			cel			NOUN		NounType=Relat					_			_
metztona		metztona		VERB		_						_			_
quitetzanhuia		_			VERB		_						_			_
ace			ace			ADV		_						_			_
quihualtoca		toca			VERB		_						_			_
commauhcacahua		mauhcacahua		VERB		_						_			_
ixco			_			NOUN		_						Locative=Yes			_
teyollo			yollotl			NOUN		_						Gloss=corazón.de.alguien			_
monequi			_			VERB		_						_			_
tlacocoa		_			VERB		_						_			_
imiquiz			miquiztli		NOUN		_						Gloss=su.muerte			_
connectia		_			VERB		_						_			_
connequilhuia		_			VERB		_						_			_
tlayolquixtia		_			VERB		_						_			_
tlatequipachoa		_			VERB		_						_			_
icac			cactli			NOUN		_						Gloss=su.zapato			_
conmauhcacahua		mauhcacahua		VERB		_						_			_
cecni			cecni			ADV		_						_			_
ompolihui		polihui			VERB		_						_			_
quicenhuica		_			VERB		_						_			_
tepancamac		tepancamac		NOUN		_						Locative=Yes|Split=tepan·camac|Gloss=hoyo.en.pared			_
calcuac			calcuatl		NOUN		_						Locative=Yes|Root=calcuatl			_
xinechnotza		notza			VERB		_						_			_
titlahtoz		tlahtoa			VERB		_						_			_
amommaca		maca			VERB		_						_			_
onimitzan		ana			VERB		_						_			_
nimitzcahuaz		cahua			VERB		_						_			_
huecauhtica		huecauhtica		ADV		_						_			_
quitlahtoltia		tlatoltia		VERB		_						_			_
conmamauhtia		mamauhtia		VERB		_						_			_
tetzauhquimichin	tetzauhquimichin	NOUN		_						Split=tetzauh·quimichin			_
tetlaquechililli	tetlaquechililli	VERB		_						_			_
quinameti		_			VERB		_						_			_
cuitlatl		cuitlatl		NOUN		_						Gloss=mierda			_
oquittac		itta			VERB		_						_			_
contepachoa		_			VERB		_						_			_
quimotla		_			VERB		_						_			_
itlatzacuil		_			NOUN		_						_			_
yolmiqui		_			VERB		_						_			_
icopac			copac			NOUN		NounType=Relat					Locative=Yes			_
itemamauhtiliz		temamauhtiliztli	NOUN		_						_			_
tlazazalia		_			VERB		_						_			_
quihualittaznequi	_			VERB		_						_			_
momati			mati			VERB		_						_			_
yollochicahuac		_			ADJ		_						_			_
yollatlapaliuh		_			ADJ		_						_			_
contlalcahuia		_			VERB		_						_			_
contlahuantia		tlahuantia		VERB		_						Root=tlahuana			_
inecuepaliz		_			NOUN		_						_			_
inenextiliz		_			NOUN		_						_			_
tetetzahuiaya		_			VERB		_						_			_
ittoya			itta			VERB		_						_			_
huetziz			huetzi			VERB		_						_			_
yahue			_			VERB		_						_			_
mochichihua		_			VERB		_						_			_
yohualnenemi		_			VERB		_						Incorp=yohual|Root=nenemi			_
nahualtetemoz		nahualtetemoa		VERB		_						Incorp=nahual|Root=temoa			_
mocencahua		_			VERB		_						_			_
iteicneliliz		teicneliliztli		NOUN		_						_			_
itenamac		tenamactli		NOUN		_						Gloss=su.regalo			_
moyollo			yollotl			NOUN		_						Gloss=tu.corazón			_
quittac			itta			VERB		_						_			_
tlazolpan		tlazolpan		NOUN		_						Locative=Yes|Split=tlazol·pan			_
cihuapiltepiton		cihuapiltepiton		NOUN		_						Split=cihua·pil·tepiton|Gloss=niñita			_
cuauhtic		cuauhtic		ADJ		_						_			_
cacapanton		cacapanton		NOUN		_						_			_
chachapaton		chachapaton		NOUN		_						_			_
tzapaton		tzapaton		NOUN		_						_			_
cuitlapachton		cuitlapachton		NOUN		_						_			_
tzonqueme		tzonqueme		NOUN		_						_			_
tzotzonqueme		tzonqueme		NOUN		_						_			_
quinequi		nequi			VERB		Subcat=Tran|Number[obj]=Sing|Person[obj]=3	Gloss=lo.quiere			_
mexica			mexicatl		NOUN		_						_			_
tla			tla			SCONJ		_						_			_
otlathuic		tlathui			VERB		_						_			_
neltiz			nelti			VERB		_						_			_
inmac			mactli			NOUN		_						_			_
ihzac			ihza			VERB		_						_			_
tecocoliani		tecocoliani		NOUN		_						_			_
ilamapol		ilamapol		NOUN		_						Gloss=vieja			_
quipitza		pitza			VERB		_						_			_
tepetl			tepetl			NOUN		_						Gloss=monte			_
yequene			yequene			ADV		_						_			_
cequintin		cequi			PRON		_						Gloss=algunos			_
huehuetque		huehue			NOUN		_						Gloss=viejos			_
huehuetlaca		huehuetlacatl		NOUN		_						Gloss=ancianos|Split=huehue·tlaca			_
teteuh			teotl			NOUN		_						Gloss=díoses			_
nahualli		nahualli		NOUN		_						_			_
teixcuepani		teixcuepani		NOUN		_						_			_
yaotecani		yaotecani		NOUN		_						_			_
yaotlatoani		yaotlatoani		NOUN		_						_			_
yaohuitl		yaohuitl		NOUN		_						Gloss=guerra			_
tehuatl			tehuatl			NOUN		_						Gloss=mar			_
Huitzilopochtli		Huitzilopochtli		PROPN		_						_			_
quiyocoyani		_			NOUN		_						_			_
mihtoaya		ihtoa			VERB		_						_			_
quitlaza		tlaza			VERB		_						_			_
q.			q.			X		_						Gloss=decir|Abbrev=quihtoz			_
n.			n.			X		_						Gloss=quiere|Abbrev=nequi			_
tlachinolli		_			NOUN		_						_			_
ilhuiquixtiloya		_			VERB		_						Split=ilhui·quixtiloya			_
malmicohuaya		_			VERB		_						_			_
tlaaltilmicohuaya	_			VERB		_						_			_
tealtiaya		_			VERB		_						_			_
xiuhtotonacoche		_			NOUN		_						_			_
xiuhcoanahuale		_			NOUN		_						_			_
xiuhtlalpile		_			NOUN		_						_			_
matacaxe		_			NOUN		_						_			_
tzitzile		_			NOUN		_						_			_
huehcauh		_			ADV		_						_			_
tlayohualhuaya		_			VERB		_						_			_
motocayotia		_			VERB		_						_			_
motepatillotiani	_			NOUN		_						_			_
moteixiptlatiani	_			NOUN		_						_			_
mixcoani		_			NOUN		_						_			_
yehica			_			SCONJ		_						Gloss=porque			_
Paynal			_			PROPN		_						_			_
teuhtli			teuhtli			NOUN		_						Gloss=polvo			_
coyohuitihuia		_			VERB		_						_			_
teuhquemetihuia		_			VERB		_						_			_
contlalitihuia		_			VERB		_						_			_
ixhuacalichihuale	_			NOUN		_						_			_
ixcitlalichihuale	_			NOUN		_						_			_
mixcitlalichiuh		_			VERB		_						_			_
huitzitzilnahuale	_			NOUN		_						_			_
xiuhchimale		_			NOUN		_						_			_
teotl			teotl			NOUN		_						Gloss=díos			_
nohuiyan		_			ADV		_						Gloss=en.todas.partes			_
ilhuicac		_			NOUN		_						Locative=Yes|Gloss=en.el.cielo			_
tetzalan		_			NOUN		_						_			_
tenepantla		_			NOUN		_						_			_
cococ			_			NOUN		_						_			_
nemiya			_			VERB		_						_			_
tlahtoaya		_			VERB		_						_			_
tlamacazque		tlamacazqui		NOUN		_						Gloss=sacerdotes			_
tlamacazqui		tlamacazqui		NOUN		_						Gloss=sacerdote			_
tlaixtlilpopotzalli	_			NOUN		_						_			_
tlaixolhuilli		_			NOUN		_						_			_
motlilozac		_			NOUN		_						_			_
ixmichihuahue		_			NOUN		_						_			_
ixmichihuauhyo		_			NOUN		_						_			_
ahuachxicole		_			NOUN		_						_			_
ayauhxicole		_			NOUN		_						_			_
aztatzone		_			NOUN		_						_			_
pozolcaque		_			NOUN		_						_			_
aztapilpane		_			NOUN		_						_			_
Quetzalcoatl		_			PROPN		_						_			_
ahuaque			_			NOUN		_						_			_
tlaloque		_			NOUN		_						_			_
teyacancauh		_			NOUN		_						_			_
tlachpancauh		_			NOUN		_						_			_
molhuia			_			VERB		_						_			_
icoyoca			_			NOUN		_						_			_
eheca			ehecatl			NOUN		_						_			_
ehecatl			ehecatl			NOUN		_						Gloss=viento			_
cuacualaca		_			VERB		_						_			_
tetecuica		_			VERB		_						_			_
yohuin			_			ADV		_						_			_
ocelotzitzile		_			NOUN		_						_			_
mixtlilpopotz		_			NOUN		_						_			_
ocelocopile		_			NOUN		_						_			_
tlapanahuia		_			VERB		_						_			_
Cihuacoatl		Cihuacoatl		PROPN		_						_			_
tetetzahuiani		_			NOUN		_						_			_
temotlaya		_			VERB		_						_			_
nanacoche		_			NOUN		_						_			_
yaotetzahuitl		yaotetzahuitl		NOUN		_						Split=yao·tetzahuitl			_
ixayac			_			NOUN		_						_			_
centlacochichiltic	_			ADJ		_						Split=centlaco·chichiltic			_
centlacotliltic		_			ADJ		_						Split=centlaco·tliltic			_
cihuateteuh		_			NOUN		_						Split=cihua·teteuh|Gloss=diosas			_
cihuateotl		cihuateotl		NOUN		_						Split=cihua·teotl|Gloss=diosa			_
coatl			coatl			NOUN		_						Gloss=víbora			_
inyohua			_			NOUN		_						_			_
incualo			_			NOUN		_						_			_
mixcohuaya		_			VERB		_						_			_
ixtlauhxahuale		_			NOUN		_						_			_
amacale			_			NOUN		_						Split=ama·cale			_
axochiahuipile		_			NOUN		_						Split=a·xochi·huipile			_
axochiyacueye		_			NOUN		_						_			_
tonalchimale		_			NOUN		_						Split=tonal·chimale			_
tonatiuhchimale		_			NOUN		_						Split=tonatiuh·chimale			_
innan			nan			NOUN		_						Gloss=su.madre			_
tenan			nan			NOUN		_						Gloss=su.madre.de.alguien			_
cihuatl			cihuatl			NOUN		_						Gloss=mujer			_
cihua			cihuatl			NOUN		_						Gloss=mujer			_
atlan			_			NOUN		_						Locative=Yes			_
temazcaleque		_			NOUN		_						_			_
ixiptla			_			NOUN		_						Gloss=su.imagen			_
temazcalixcuac		_			NOUN		_						Split=temazcal·ixcuac			_
temazcalteci		_			NOUN		_						_			_
onmic			_			VERB		_						_			_
onmaquiaya		_			VERB		_						_			_
iyehuayo		_			NOUN		_						_			_
innepantla		_			NOUN		_						_			_
hualmoquetzaya		_			VERB		_						_			_
amacalli		_			NOUN		_						_			_
contlaliaya		_			VERB		_						_			_
citlalli		citlalli		NOUN		_						Gloss=estrella			_
icue			cuetl			NOUN		_						Gloss=falda			_
motenolcopi		_			VERB		_						_			_
icamapa			_			NOUN		_						_			_
coyatemale		_			NOUN		_						_			_
cuechcueye		_			NOUN		_						_			_
mocuechcueti		_			VERB		_						_			_
citlalcueye		_			NOUN		_						_			_
ihuipil			huipilli		NOUN		_						Gloss=huipil			_
cuauhtzetzeliuhqui	_			NOUN		_						_			_
iztac			iztac			ADJ		_						Gloss=blanco			_
ichimal			_			NOUN		_						Gloss=su.escudo			_
totoicxiyo		_			NOUN		_						_			_
popoa			_			VERB		_						_			_
#izquice			_
cuahuihuih		_			NOUN		_						Gloss=pluma.de.águila			_
cuahuihuiyo		_			NOUN		_						_			_
cuauhtehuitzzo		_			NOUN		_						_			_
#tecuitlaytixapo			_
nechichihuale		_			NOUN		_						_			_
#quimotlatlalili			_
#tzetzeliuhqui			_
#ichcaxochihua			_
itonal			tonalli			NOUN		_						_			_
mieccan			mieccan			ADV		_						Gloss=en.muchas.partes			_
cualo			cua			VERB		Subcat=Tran|Impersonal=Yes			_			_
ichiyahuaca		_			NOUN		_						Gloss=su.aceite			_
ilhuiquiztiloya		_			VERB		_						Split=ilhui·quiztiloya			_
oxinamacaque		_			NOUN		_						Split=oxi·namacaque			_
tlacamictiaya		_			VERB		_						Split=tlaca·mictiaya			_
ihuehueyohuan		_			NOUN		_						_			_
cayotzotzonilia		_			VERB		_						_			_
cayohuitequilia		_			VERB		_						_			_
cayacachilhuia		_			VERB		_						_			_
comichicahuacilhuia	_			VERB		_						_			_
tlaolchipinilli		_			NOUN		_						_			_
iamacal			amacalli		NOUN		_						Gloss=corona.de.papel|Split=ama·cal			_
inechichihual		_			NOUN		_						Gloss=su.vestimento			_
yacametze		_			NOUN		_						_			_
amanacoche		_			NOUN		_						_			_
chayahuac		chayahua		VERB		_						_			_
colotlalpile		_			NOUN		_						_			_
ometochchimale		_			NOUN		_						_			_
iztopile		_			NOUN		_						_			_
tecpatopile		_			NOUN		_						_			_
oyouh			_			VERB		_						_			_
diablome		diablo			NOUN		Number=Plur					_			_
imixiptlahuan		_			NOUN		_						_			_
icximimiqui		_			VERB		_						_			_
omotenamicti		_			VERB		_						_			_
macuiltin		_			NUM		_						_			_
momacuecuetza		_			VERB		_						_			_
tencualacquiza		_			VERB		_						_			_
tlamiloya		_			VERB		_						_			_
tetlahuelia		_			VERB		_						_			_
teme			tetl			NOUN		_						Gloss=piedras			_
inpilhuan		pilli			NOUN		_						_			_
tetahuan		_			NOUN		_						Gloss=padres.de.alguien			_
tenahuan		_			NOUN		_						Gloss=madres.de.alguien			_
temo			temoa			VERB		_						_			_
aci			_			VERB		_						_			_
tlalpan			tlalpan			NOUN		_						Locative=Yes|Split=tlal·pan			_
totlalpan		tlalpan			NOUN		_						Locative=Yes			_
quittitia		ittitia			VERB		_						Root=itta			_
quitoctia		toctia			VERB		_						Root=toca			_
quitlaniliz		tlanilia		VERB		_						Root=tlani			_
quitlanilia		tlanilia		VERB		_						Root=tlani			_
quitetoquilia		toquilia		VERB		_						Root=toca			_
quintzatzilia		tzatzilia		VERB		_						Root=tzatzia			_
quintlanamictiz		tlanamictia		VERB		_						Root=namictia			_
paquiliztli		paquiliztli		NOUN		_						_			_
oncuauhtenhuetzizque	huetzi			VERB		_						Incorp=cuauhten			_
papalotlaxcalli		_			NOUN		_						Split=papalo·tlaxcalli			_
tlamatzohualli		_			NOUN		_						_			_
xocuichtlamatzohualli	_			NOUN		_						_			_
cihuateocalco		_			NOUN		_						Split=cihua·teo·calco			_
tlaitzcopcohualli	_			NOUN		_						_			_
tlaitzcopcohualtectli	_			NOUN		_						_			_
inhuan			_			NOUN		NounType=Relat					Gloss=con.ellos			_
machoya			_			VERB		_						_			_
inhueltiuh		_			NOUN		_						_			_
mahuiztililoya		_			VERB		_						_			_
imacaxoya		_			VERB		_						_			_
mauhcaittoya		_			VERB		_						_			_
tlamauhtiaya		_			VERB		_						_			_
teatlanmictiaya		_			VERB		_						_			_
teatoctiaya		_			VERB		_						_			_
tepolactiaya		_			VERB		_						_			_
acalli			acalli			NOUN		_						Split=a·calli			_
quixtlapachcuepa	_			VERB		_						_			_
quehuatiquetza		_			VERB		_						_			_
quicuepa		_			VERB		_						_			_
icuicacahuan		_			NOUN		_						_			_
colotli			_			NOUN		_						_			_
ilhuiquixtililoya	_			VERB		_						_			_
pilcatiuh		_			NOUN		_						_			_
tecuitlacomalli		_			NOUN		_						_			_
tlacotli		tlacotli		NOUN		_						Gloss=esclavo			_
tianquizco		_			NOUN		_						Locative=Yes|Gloss=en.el.mercado			_
apantlaca		_			NOUN		_						_			_
miquiya			_			VERB		_						_			_
Tlalocan		Tlalocan		PROPN		_						_			_
tlantihuia		_			VERB		_						_			_
queltetequia		_			VERB		_						_			_
inteopan		_			NOUN		_						Locative=Yes			_
tlenamacoya		_			VERB		_						_			_
mocnelilmati		_			VERB		_						_			_
nemi			_			VERB		_						_			_
tlamanixti		_			VERB		_						_			_
atlacuilolhuipile	_			NOUN		_						_			_
atlacuilolhuihuipile	_			NOUN		_						_			_
atlacuilolcueye		_			NOUN		_						_			_
atlacuezonanchimale	_			NOUN		_						_			_
texoamacale		_			NOUN		_						_			_
cacalaca		_			VERB		_						_			_
quil			quil			ADV		_						Gloss=al.parecer			_
itlatqui		_			PRON		_						Gloss=su.cosa			_
nahuintin		_			NUM		_						_			_
intoca			_			NOUN		_						Gloss=sus.nombres			_
ceceyaca		_			ADV		_						Gloss=cada.uno			_
iixpan			_			NOUN		NounType=Relat					_			_
imixpan			_			NOUN		_						Gloss=en.frente|Locative=Yes			_
immanel			_			NOUN		_						_			_
momelahua		_			VERB		_						_			_
mopinahuizcahua		_			VERB		_						_			_
ohuih			_			VERB		_						_			_
tlaellachiyohualli	_			NOUN		_						_			_
quitemaca		_			VERB		_						_			_
quiteca			_			VERB		_						_			_
quihuica		_			VERB		_						_			_
imac			_			NOUN		_						Gloss=en.su.mano|Locative=Yes			_
neyolcuitilo		_			VERB		_						_			_
neyolmelahualo		_			VERB		_						_			_
achto			_			ADV		_						Gloss=primero			_
iix			_			NOUN		_						_			_
inacaz			_			NOUN		_						_			_
itlacaccauh		_			NOUN		_						_			_
matile			_			NOUN		_						_			_
moyolmelahuaz		_			VERB		_						_			_
tlacuilolli		tlacuilolli		NOUN		_						_			_
tlilli			tlilli			NOUN		_						_			_
tlapouhqui		_			NOUN		_						_			_
#nonotzale					_
oquihto			ihtoa			VERB		_						_			_
#piyale			_
#tlamatini			_
#tlapilchihuale			_
itechtzinco		_			NOUN		NounType=Relat					_			_
itoptzin		_			NOUN		_						_			_
ipetlacaltzin		_			NOUN		_						_			_
iamox			amoxtli			NOUN		_						Gloss=su.libro			_
itlacuilol		tlacuilolli		NOUN		_						_			_
huallaz			_			VERB		_						_			_
inahuatilpan		_			NOUN		_						Locative=Yes			_
cuauhuitl		_			NOUN		_						_			_
yancuic			_			ADJ		_						Gloss=nuevo			_
contema			_			VERB		_						_			_
huellachpano		_			VERB		_						_			_
tlamaceuhqui		_			NOUN		_						_			_
moteca			_			VERB		_						_			_
inta			_			NOUN		_						Gloss=su.padre			_
huehue			_			ADJ		_						Gloss=viejo			_
cuitlapilli		_			NOUN		_						_			_
atlapalli		_			NOUN		_						_			_
zacamitl		_			NOUN		_						_			_
aqui			_			PRON		_						_			_
omotepotlami		_			VERB		_						_			_
oquinamic		_			VERB		_						_			_
omalauh			_			VERB		_						_			_
xicmocaquiti		_			VERB		_						_			_
inentlamachiliz		nentlamachiliztli	NOUN		_						Gloss=su.angustia			_
iixpantzinco		_			NOUN		NounType=Relat					_			_
ixpantzinco		_			NOUN		NounType=Relat					_			_
tihualmohuicatia	_			VERB		_						_			_
mopalanca		_			NOUN		_						_			_
motop			_			NOUN		_						_			_
yohualli		yohualli		NOUN		_						Gloss=noche			_
immopetlacal		_			NOUN		_						_			_
ximopepetlahua		_			VERB		_						_			_
ximomamaxahui		_			VERB		_						_			_
ihuictzinco		_			NOUN		_						Locative=Yes			_
ticmotlapolhuilico	_			VERB		_						_			_
ticmolhuilico		_			VERB		_						_			_
ticmomaquilico		_			VERB		_						_			_
mitztlacanotzaz		_			VERB		_						_			_
a			_			ADV		_						_			_
tictlacaittaz		_			VERB		_						_			_
quenin			quenin			ADV		PronType=Int					Gloss=cómo			_
mopetlacal		_			NOUN		_						_			_
ticmati			_			VERB		_						_			_
ticchiuh		_			VERB		_						_			_
monemiliz		nemiliztli		NOUN		_						_			_
xicpetlani		_			VERB		_						_			_
xocnoqui		_			VERB		_						_			_
xicmotlaocolnonochili	_			VERB		_						_			_
tloque			_			NOUN		_						_			_
nahuaque		_			NOUN		_						_			_
timopinoquetz		_			VERB		_						_			_
titzicolo		_			VERB		_						_			_
teixiptla		_			NOUN		_						_			_
oncopaltema		_			VERB		_						_			_
ontlalcua		_			VERB		_						_			_
nopalanca		_			NOUN		_						_			_
tlahuilpan		_			NOUN		_						Locative=Yes			_
mixpantzinco		_			NOUN		NounType=Relat					_			_
onicchiuh		_			VERB		_						_			_
itlapilchihualiz	_			NOUN		_						_			_
itlachihual		_			NOUN		_						_			_
quichiuh		_			VERB		_						_			_
cuicatl			cuicatl			NOUN		_						Gloss=canción			_
quitocatiuh		_			VERB		_						_			_
conehua			_			VERB		_						_			_
otlamito		_			VERB		_						_			_
ino			_			ADV		_						_			_
quihto			ihtoa			VERB		_						_			_
ticmononochilia		_			VERB		_						_			_
ticmomaquilia		_			VERB		_						_			_
motlachihual		_			NOUN		_						_			_
monecuahuitec		_			NOUN		_						_			_
ticchihuaz		chihua			VERB		_						_			_
temoa			temoa			VERB		_						_			_
timozahuaz		_			VERB		_						_			_
timotenohuatzaz		_			VERB		_						_			_
timocuitlaxcolzahuaz	_			VERB		_						_			_
ixcuiname		_			NOUN		_						_			_
imilhuiuh		_			NOUN		_						_			_
otzintique		_			VERB		_						_			_
inteteuh		teotl			NOUN		_						Gloss=sus.dioses			_
tzintique		_			VERB		_						_			_
mocentlalique		mocentlalia		VERB		_						_			_
ticnequiz		nequi			VERB		_						_			_
huallatiuh		_			VERB		_						_			_
titlacoquixtiz		_			VERB		_						_			_
ticnamiyetiz		_			VERB		_						_			_
tizacatlazaz		_			VERB		_						_			_
monacazco		_			NOUN		_						Locative=Yes			_
monenepilco		_			NOUN		_						Locative=Yes			_
titlaquixtiz		_			VERB		_						_			_
mixpampa		ixpampa			NOUN		NounType=Relat					Locative=Yes			_
ticaquiz		_			VERB		_						_			_
ticcenquixtiz		_			VERB		_						_			_
ticcuitlacueponiz	_			VERB		_						_			_
ticquixtiz		_			VERB		_						_			_
tictlacozoz		_			VERB		_						_			_
tictlatlazalhuiz	_			VERB		_						_			_
tictlaza		_			VERB		_						_			_
tictlazaz		_			VERB		_						_			_
tiquixtiz		_			VERB		_						_			_
titlamacehua		_			VERB		_						_			_
polihuiz		_			VERB		_						_			_
tlatzintlan		tzintlan		NOUN		NounType=Relat					Locative=Yes			_
itzintlan		tzintlan		NOUN		NounType=Relat					Locative=Yes			_
motzintlan		tzintlan		NOUN		NounType=Relat					Locative=Yes			_
motlatlacol		_			NOUN		_						_			_
motlapilchihual		_			NOUN		_						_			_
monecual		_			NOUN		_						_			_
itlapilchihual		_			NOUN		_						_			_
titlatotiz		_			VERB		_						_			_
titepiquiz		_			VERB		_						_			_
tiquinquixtiz		_			VERB		_						_			_
titlacatlacuaz		_			VERB		_						_			_
timoteteuhcahuaz	_			VERB		_						_			_
otitlanecomalti		_			VERB		_						_			_
yohuayan		_			NOUN		_						_			_
huetziyaz		_			VERB		_						_			_
mantiyaz		_			VERB		_						_			_
tipetlauhtiyaz		_			VERB		_						_			_
titlamacehuaz		_			VERB		_						_			_
#micampa						_
momaxac			_			NOUN		_						_			_
omaxac			omaxac			NOUN		_						Locative=Yes|Gloss=cruce			_
motech			_			NOUN		NounType=Relat					_			_
motzintlampa		_			NOUN		_						Locative=Yes			_
#tlayitzcopehualli			_
tihualmocuepaz		_			VERB		_						_			_
totecuiyohuan		_			NOUN		_						Gloss=nuestros.señores			_
amacue			amacueye		NOUN		_						Gloss=falda.de.papel|Split=ama·cue			_
tocontlazaz		tlaza			VERB		_						Gloss=tirarás			_
tlazalo			tlaza			VERB		_						Gloss=es.tirado			_
otlamaceuh		_			VERB		_						_			_
hualauh			_			VERB		_						_			_
tlatlacoz		_			VERB		_						_			_
monemilizcuepa		_			VERB		_						_			_
hueyi			_			ADJ		_						Gloss=grande			_
necualli		_			NOUN		_						_			_
intlapilchihual		_			NOUN		_						_			_
cuatepitziniloz		_			VERB		_						_			_
cuatetzotzonaloz	_			VERB		_						_			_
motta			itta			VERB		_						_			_
tlapilchihualli		_			NOUN		_						_			_
tlalilo			_			VERB		_						_			_
ilhuilo			_			VERB		_						_			_
tepitoton		_			NOUN		_						_			_
huehueyintin		_			NOUN		_						_			_
Xiutecuhtli		Xiutecuhtli		PROPN		_						_			_
cuezaltzin		_			NOUN		_						_			_
ixcozauhqui		_			NOUN		_						_			_
Ixcozauhqui		Ixcozauhqui		PROPN		_						_			_
tota			_			NOUN		_						Gloss=nuestro.padre			_
iztatlatillo		_			VERB		_						_			_
necutlatilo		_			VERB		_						_			_
nezcolo			_			VERB		_						_			_
oxitlatilo		_			VERB		_						_			_
tapaloa			_			VERB		_						_			_
tecollatilo		_			VERB		_						_			_
temazallatilo		_			VERB		_						_			_
tenextlatilo		_			VERB		_						_			_
tetlecuilolo		_			VERB		_						_			_
tlacoxitilo		_			VERB		_						_			_
tlanextlatilo		_			VERB		_						_			_
tlatezoyonilo		_			VERB		_						_			_
tlatlehuatzalo		_			VERB		_						_			_
tlatzoyonilo		_			VERB		_						_			_
tlachinoa		_			VERB		_						_			_
copaltemililo		_			VERB		_						_			_
itlamiyan		_			NOUN		_						_			_
tlacotonaloya		_			VERB		_						_			_
huauhquiltamalli	_			NOUN		_						Split=huauhquil·tamalli			_
cecencalpan		_			NOUN		_						Split=cecen·calpan|Locative=Yes|Gloss=en.cada.casa			_
cualoya			cua			VERB		_						_			_
micqueh			miqui			VERB		_						Gloss=murieron			_
ixquichtin		ixquich			NOUN		_						_			_
mochintin		mochi			PRON		_						Gloss=todos			_
teotihuacan		teotihuacan		PROPN		_						_			_
canin			canin			ADV		_						Gloss=donde			_
iquin			_			ADV		_						_			_
tlamamaz		tlamama			VERB		_						Gloss=lo.cargará			_
tonatiuh		_			NOUN		_						Gloss=sol			_
yez			_			AUX		_						_			_
cececni			_			ADV		_						_			_
mozcalti		mozcaltia		VERB		_						_			_
mocauh			cahua			VERB		_						_			_
mihto			_			VERB		_						_			_
omomanaco		_			VERB		_						_			_
macamo			_			ADV		_						_			_
tollan			tollan			PROPN		_						_			_
ipehualiz		pehualiztli		NOUN		_						_			_
itzintiliz		tzintiliztli		NOUN		_						_			_
ipehualiz		pehualiztli		NOUN		_						_			_
ihuicpa			huicpa			NOUN		NounType=Relat					_			_
nenca			nenca			VERB		_						_			_
centzonhuitznahua	centzonhuitznahua	PROPN		_						_			_
inhueltiuh		hueltiuhtli		NOUN		_						Gloss=hermana.mayor			_
Coyolxauh		coyolxauh		PROPN		_						_			_
quimocuitlahuiaya	_			VERB		_						_			_
tlamacehuaya		_			VERB		_						_			_
tlachpanaya		_			VERB		_						_			_
tlachpanalli		tlachpanalli		NOUN		_						_			_
tlachpania		_			VERB		_						_			_
hualtemoc		_			VERB		_						_			_
ihuitelolotli		_			NOUN		_						_			_
concuitihuetz		_			VERB		_						_			_
ihuehueyiohuan		_			NOUN		_						_			_
comalco			_			NOUN		_						_			_
conmacoaya		_			VERB		_						_			_
mochichinoz		_			VERB		_						_			_
motlatiz		_			VERB		_						_			_
ocualoc			_			VERB		_						_			_
otlamanaloc		_			VERB		_						_			_
tetlacahualtiloya	_			VERB		_						_			_
yancuican		_			ADV		_						_			_
contlazaya		_			VERB		_						_			_
motlaxquia		_			VERB		_						_			_
ocacic			_			VERB		_						_			_
pipiltotonti		_			NOUN		_						_			_
tlecuilli		_			NOUN		_						_			_
xohuili			_			NOUN		_						_			_
yoyoli			_			NOUN		_						_			_
axolotl			_			NOUN		_						_			_
texcalcehuia		_			VERB		_						_			_
ilamatque		_			NOUN		_						Gloss=ancianas			_
tlatlahuanaya		_			VERB		_						_			_
nauhxiuhtica		_			ADV		_						Split=nauh·xiuhtica|Temporal=Yes			_
itocayocan		_			NOUN		_						_			_
iteucal			_			NOUN		_						_			_
motoca			_			NOUN		_						Gloss=tu.nombre			_
huetli			_			NOUN		_						_			_
imahuihuan		_			NOUN		_						_			_
intlahuan		_			NOUN		_						_			_
iteopan			teopan			NOUN		_						Gloss=su.templo			_
pilhuaque		_			NOUN		_						_			_
quimitta		itta			NOUN		_						Gloss=los.ve			_
tlacualo		_			VERB		_						_			_
zatepan			zatepan			ADV		_						_			_
amacozneyapanale	_			NOUN		_						_			_
chalchiuhtetele		_			NOUN		_						_			_
cocuiyole		_			NOUN		_						_			_
mitzone			_			NOUN		_						_			_
motenhuiltec		_			NOUN		_						_			_
quetzalmiyahuayo	_			NOUN		_						_			_
tlachyeltopile		_			NOUN		_						_			_
tlacotztzone		_			NOUN		_						_			_
tliltica		_			NOUN		_						_			_
xiuhcohuanacoche	_			NOUN		_						_			_
xiuhtezcatlatlapanqui	_			NOUN		_						_			_
xiuhtotohuamacale	_			NOUN		_						_			_
xochipilli		_			NOUN		_						Split=xochi·pilli			_
macuilxochitl		_			NOUN		_						Split=macuil·xochitl			_
oce			ce			NUM		_						Gloss=y.uno			_
omeyi			eyi			NUM		_						Gloss=y.tres			_
omome			ome			NUM		_						Gloss=y.dos			_
onnahui			nahui			NUM		_						Gloss=y.cuatro			_
matlactloce		matlactoce		NUM		_						Gloss=once|Split=matlactl·oce			_
cihuacochiz		_			VERB		_						Split=cihua·cochiz			_
inecahualiz		_			NOUN		_						_			_
inteuh			_			NOUN		_						Gloss=su.díos			_
nezahuililoya		_			VERB		_						_			_
nenetoltiloya		_			VERB		_						_			_
#neneuhque					_
neteutiloya		_			VERB		_						_			_
