# FORM			LEMMA			UPOS		UFEATS						MISC			URL
tonalli			tonalli			NOUN		_						Gloss=día			_
cuix			cuix			ADV		_						Gloss=quizás			_
motolinia		motolinia		NOUN		_						Gloss=pobre			_
timotolinia		motolinia		NOUN		Number[subj]=Sing|Person[subj]=2		_			_
xole			xolo			NOUN		Case=Voc					Gloss=paje			_
xolotze			xolo			NOUN		Case=Voc					Gloss=paje			_
telpochtle		telpochtli		NOUN		Case=Voc					_			_
tiquitlani		tiquitlani		NOUN		_						_			_
cah			cah			VERB		_						_			_
ca			cah			VERB		_						_			_
ca			ca			PART		_						_			_
nimitzmamauhtiz		_			VERB		_						_			_
monenequiz		nenequi			VERB		_						_			_
huiptla			huiptla			ADV		_						Gloss=pasado.mañana			_
otihualla		hualla			VERB		_						_			_
mecapalli		_			NOUN		_						_			_
nel			nel			ADV		_						Gloss=ya			_
ma			ma			ADV		_						Gloss=OPT			_
tictemoa		temoa			VERB		_						_			_
tiacahue		tiacauh			NOUN		Case=Voc					Gloss=valiente.hombre			https://nahuatl.wired-humanities.org/content/tiacauh
tlacatl			tlacatl			NOUN		_						Gloss=hombre			_
iuhcan			iuhcan			ADV		_						_			_
iuhca			iuhcan			ADV		_						_			_
motonal			tonalli			NOUN		_						Gloss=tu.día			_
timotlacatili		tlacatilia		VERB		_						_			_
tictlamacazque		tlamaca			VERB		_						_			_
totecuiyo		_			NOUN		_						_			_
motepitzyollo		tepitzyollotl		NOUN		_						Split=tepitz·yollo			_
oc			oc			ADV		_						_			_
motlapal		tlapalli		NOUN		_						Gloss=tu.fuerza			_
tlapalli		tlapalli		NOUN		_						Gloss=fuerza			_
ixquich			ixquich			NOUN		NounType=Relat					Gloss=todo			_
amatl			amatl			NOUN		_						Gloss=papel			_
olli			olli			NOUN		_						Gloss=hule			_
copalli			copalli			NOUN		_						Gloss=copal			_
izquitlamantli		_			NOUN		_						_			_
monextlahual		nextlahualli		NOUN		_						Gloss=sacrificio		https://nahuatl.wired-humanities.org/content/nextlahualli
etc.			etc.			NOUN		_						_			_
xitlamacehua		_			VERB		_						_			_
onmochihuaz		_			VERB		_						_			_
iciuhca			_			ADV		_						Gloss=luego			_
mochan			chantli			NOUN		_						Gloss=tu.casa			_
nehuatl			nehhuatl		PRON		_						Gloss=yo			_
tihualmohuicaz		_			VERB		_						_			_
niccencahuaz		cahua			VERB		_						_			_
nicnomahuiz		_			VERB		_						_			_
nictlatlamantiliz	_			VERB		_						_			_
monequiz		nequi			VERB		_						_			_
tonextlahual		_			NOUN		_						_			_
toteteuh		teotl			NOUN		Number=Plur|Number[psor]=Plur|Person[psor]=1|State=Poss						_			_
pochteca		pochtecatl		NOUN		_						_			_
quenman			_			ADV		_						Gloss=a.veces			_
huitz			huitz			NOUN		_						Gloss=manera			_
huitz			huitza			VERB		_						Gloss=viene			_
conihtoa		ihtoa			VERB		_						_			_
huehuetzca		_			VERB		_						_			_
ipampa			ipampa			NOUN		NounType=Relat					Gloss=porque			_
nenenque		_			NOUN		_						_			_
momauhtia		_			VERB		_						_			_
atle			atle			PRON		_						Gloss=nada			_
itlahtol		tlahtolli		NOUN		_						Gloss=su.palabra			_
cualli			cualli			ADJ		_						Gloss=bueno			_
cualtzin		cualli			ADJ		_						Gloss=bueno			_
ixillan			_			NOUN		_						_			_
cocoliztli		cocoliztli		NOUN		_						Gloss=enfermedad			_
cana			cana			ADV		_						Gloss=alguna.parte			_
oquicacque		_			VERB		_						_			_
za			za			ADV		_						_			_
ommochihuaz		_			VERB		_						_			_
hualmotzacuaz		_			VERB		_						_			_
mocacanahua		_			VERB		_						_			_
ocehuetzi		huetzi			VERB		_						_			_
ontlanahui		_			VERB		_						_			_
ayocmo			ayocmo			ADV		_						Gloss=ya.no			_
tenahuatili		nahuatilia		VERB		_						_			_
techchoquili		choquilia		VERB		_						_			_
quiteittitia		ittitia			VERB		_						Root=itta			_
tepetzalan		tepetzalan		NOUN		_						Split=tepe·tzalan|Locative=Yes			_
itic			ihtic			NOUN		NounType=Relat					Gloss=dentro			_
cuauhihtic		cuauhihtic		NOUN		_						Split=cuauh·itic|Locative=Yes			_
cuauhnepantla		cuauhnepantla		NOUN		_						Split=cuauh·nepantla|Locative=Yes			_
