0	tzatzitiqujca	tzatzitiquiza
0	ticcaoazque	ticcahuazque
0	chiqujmoli	chiquimoli
0	occequj	occequi
0	iooaltica	yohualtica
0	monextiaia	monextiaya
0	tezavitl	tezahuitl
0	tetzaujtl	tezahuitl
0	tetzavitl	tezahuitl
0	jtoca	itoca
0	tlacanexqujmjlli	tlacanexquimilli
0	tlacateculotl	tlacatecolotl
0	qujmatia	quimatia
0	mjexi	miexi
0	omjex	omiex
0	qujueimati	quihueyimati
0	conjtta	conitta
0	moiollalia	moyollalia
0	otlatvic	otlatuic
0	otlathvic	otlatuic
0	cujx	cuix
0	qujtta	quitta
0	qujtetzammati	quitetzammati
0	vel	huel
0	contzonuja	contzonuia
0	compilova	compilohua
0	niqujtta	niquitta
0	njamn	niman
0	qujtztica	quitztica
0	qujtztimotlalia	quitztimotlalia
0	nocommaujco	nocommahuizo
0	jqc	ihcuac
0	qujtovaia	quitohuaya
0	otivalla	otihualla
0	otioallaque	otihuallaque
1	j	i
1	ç	z
1	um	om
1	un	on
1	vitz	huitz
1	aujtl$	ahuitl
1	^quj	qui
1	zque$	zqueh
